3996 0.012625
0.378223 0.506765 0.390628
0.440755 0.521189 0.309143
0.486834 0.484777 0.326496
0.491916 0.496234 0.333775
0.499983 0.53369 0.322525
0.565303 0.48964 0.312632
0.320302 0.516009 0.423547
0.408172 0.589602 0.389905
0.461471 0.467581 0.339069
0.492853 0.242564 0.314018
0.52765 0.516185 0.356519
0.611991 0.529956 0.366523
0.285836 0.505536 0.471194
0.341736 0.402451 0.469877
0.344794 0.397625 0.340502
0.523782 0.477783 0.232852
0.649375 0.373992 0.377263
0.660632 0.42091 0.47698
0.309381 0.523756 0.479083
0.32588 0.310214 0.49238
0.245326 0.532562 0.522434
0.560919 0.680002 0.522757
0.743897 0.422692 0.522234
0.657361 0.209169 0.494912
0.299654 0.534191 0.496824
0.350149 0.554786 0.522542
0.411518 0.398546 0.6085
0.497383 0.388107 0.731284
0.601246 0.354053 0.59998
0.644796 0.368307 0.503981
0.359565 0.53219 0.574066
0.361198 0.529454 0.6327
0.460899 0.521317 0.673087
0.493042 0.253076 0.66811
0.511385 0.379925 0.637609
0.605014 0.572363 0.601131
0.376097 0.543893 0.373314
0.357148 0.530058 0.576851
0.322109 0.224361 0.49339
0.751881 0.449968 0.498756
0.453999 0.452519 0.629329
0.492953 0.521255 0.34251
0.317812 0.534407 0.568572
0.363229 0.522372 0.588871
0.702115 0.494218 0.498884
0.489635 0.406183 0.36095
0.597915 0.522377 0.605003
0.597912 0.582855 0.56067
0.503122 0.264115 0.679131
0.543896 0.626409 0.678889
0.696853 0.374887 0.427687
0.70981 0.48452 0.479463
0.341647 0.495255 0.498273
0.39429 0.511252 0.365219
0.499573 0.33783 0.646363
0.350705 0.525895 0.624483
0.391413 0.595816 0.590974
0.408939 0.399964 0.595209
0.316889 0.54676 0.490251
0.547391 0.348517 0.690524
0.390685 0.504719 0.609883
0.66643 0.524601 0.514621
0.6349 0.469567 0.674001
0.470272 0.487582 0.662267
0.642749 0.545536 0.565223
0.356799 0.669603 0.529176
0.489882 0.401245 0.642568
0.667722 0.536063 0.53125
0.740427 0.484785 0.429601
0.653863 0.525114 0.567187
0.497469 0.281835 0.659112
0.319105 0.531738 0.43168
0.312242 0.548547 0.55739
0.3382 0.397163 0.475363
0.583969 0.541418 0.544113
0.665798 0.478773 0.469448
0.360923 0.459766 0.30253
0.493621 0.509957 0.346665
0.482655 0.264138 0.671416
0.487137 0.498281 0.672474
0.688795 0.450461 0.606184
0.602674 0.67263 0.517301
0.520179 0.519978 0.687332
0.557495 0.569613 0.419421
0.430867 0.673576 0.379804
0.674618 0.216147 0.515186
0.39615 0.39174 0.5744
0.348379 0.553299 0.526743
0.675224 0.528584 0.455984
0.386358 0.501877 0.622131
0.595871 0.489015 0.546203
0.383192 0.570862 0.286848
0.354961 0.545148 0.621569
0.562683 0.662523 0.376184
0.389975 0.572874 0.547181
0.584046 0.551809 0.442609
0.382882 0.422662 0.303989
0.310591 0.535954 0.482289
0.61923 0.540971 0.539989
0.359255 0.506814 0.603697
0.517723 0.510098 0.688782
0.661801 0.373972 0.485896
0.643684 0.552004 0.401218
0.514456 0.252747 0.671878
0.461745 0.537703 0.643309
0.322394 0.540608 0.488877
0.461197 0.436286 0.637326
0.610169 0.569084 0.593912
0.342643 0.258533 0.477489
0.342181 0.23775 0.477328
0.461982 0.521043 0.321154
0.661511 0.319624 0.47651
0.65834 0.425738 0.484038
0.498169 0.409851 0.357847
0.664852 0.267181 0.473469
0.652509 0.539378 0.536513
0.530538 0.394575 0.637668
0.335346 0.202486 0.473281
0.49329 0.207298 0.327742
0.655356 0.324498 0.512538
0.470493 0.44205 0.333001
0.646076 0.523167 0.369748
0.750939 0.470994 0.531461
0.376616 0.589293 0.565853
0.503944 0.238725 0.66772
0.346187 0.228913 0.489938
0.432284 0.426948 0.262432
0.682327 0.484682 0.494083
0.654846 0.254392 0.487191
0.605618 0.455601 0.692337
0.579829 0.575364 0.28042
0.673249 0.343589 0.461819
0.434652 0.515575 0.683188
0.378214 0.51651 0.384657
0.532553 0.402014 0.375985
0.565495 0.359657 0.358013
0.487635 0.262585 0.667839
0.474487 0.307602 0.321472
0.645525 0.653332 0.524184
0.609515 0.492556 0.363496
